CELL_LINE_NAME,DRUG_NAME,LN_IC50
SNB75,LY2109761,3.6063709999999998
DU145,Dacarbazine,6.887474
8505C,Tanespimycin,0.20658200000000002
A549,OTX015,1.10008
NCIH2009,Avagacestat,5.638559
NMCG1,SCH772984,7.15717
NCIH2009,MIRA-1,5.372953
OVISE,Methotrexate,-1.0043030000000002
5637,SB590885,3.350051
OVISE,Oxaliplatin,6.26961
CORL23,Alisertib,2.341761
BICR31,Gemcitabine,-5.164967
BXPC3,Alisertib,2.8742360000000002
SKMEL2,Docetaxel,4.268547
KP2,Ulixertinib,2.090621
ONS76,Ipatasertib,4.135194
SKMEL2,EPZ004777,5.403446
NCIH1975,SB590885,5.320773
HCC827,Dasatinib,-1.569385
HCT116,Irinotecan,2.3068779999999998
SUIT2,Pevonedistat,1.111277
NCIH2347,SGC0946,3.723115
OVISE,CCT007093,5.515378
SW948,MN-64,3.616635
LOXIMVI,Vinorelbine,-4.1870330000000004
MCF7,glutathione,10.041697000000001
NCIH1355,Docetaxel,-3.997837
LNCAPCLONEFGC,Staurosporine,-2.085381
KYSE510,AGI-5198,3.9106080000000003
HCC1806,Ruxolitinib,4.226337
NCIH1975,RO-3306,3.8159400000000003
NMCG1,VE821,5.4282639999999995
A549,UNC0379,3.1074599999999997
OVCAR3,AT13148,4.345765
COLO680N,LGK974,5.937604
NCIH1650,Temozolomide,7.615344
SKNSH,Gemcitabine,-0.9386620000000001
RCC10RGB,Trametinib,-0.296373
SNB75,LGK974,6.219918
DKMG,Lapatinib,4.085671
HT29,PF-4708671,3.8855120000000003
NCIH226,Selumetinib,7.386951
NMCG1,Lapatinib,7.524286999999999
LOXIMVI,GNE-317,-0.690693
MCF7,Temozolomide,7.3830729999999996
HT29,glutathione,9.395926
IGROV1,RO-3306,3.090423
KP2,Gefitinib,4.874501
5637,Doramapimod,5.200058
NCIH322,Erlotinib,-1.1774360000000001
H4,ICL-SIRT078,3.99919
HCC1806,RO-3306,2.567187
TE8,Entospletinib,2.894965
DKMG,AGI-5198,4.84652
5637,Staurosporine,-2.863106
NCIH322,Paclitaxel,-1.032074
NCIH322,Alisertib,3.901211
KU1919,Fulvestrant,4.338177
DU145,AZD8055,1.32066
786O,Gallibiscoquinazole,2.518677
SKNSH,BI-2536,-1.02085
SCC25,RVX-208,5.445392
CAL29,ascorbate,10.785978
COLO829,VE821,3.2858089999999995
DKMG,GSK343,2.7855529999999997
COLO680N,Wee1 Inhibitor,5.283189
CAL29,PFI3,5.328256
MESSA,PD0325901,2.9075130000000002
NCIH1793,NU7441,5.049114
LOVO,Irinotecan,3.711559
TE8,AZD4547,1.799561
HCC827,Doramapimod,6.395796
CORL23,AZD6738,0.589148
MESSA,GSK591,4.730044
OVCAR3,Remodelin,5.125969
NMCG1,NU7441,9.191778
LOVO,WEHI-539,5.571249
NCIH2009,Osimertinib,2.372999
CORL23,Lapatinib,2.934174
HCC827,Talazoparib,5.426588
CORL23,Talazoparib,2.949251
COLO680N,Temozolomide,7.632325
NCIN87,PFI3,5.559935
COLO680N,Irinotecan,4.978287
639V,Sorafenib,2.1183680000000003
HCC827,GSK343,3.683493
LOXIMVI,Docetaxel,-4.872396
SKMEL2,AZ6102,4.298289
GAMG,Obatoclax Mesylate,0.565822
DKMG,Pictilisib,1.9369180000000001
ONS76,Mycophenolic acid,1.1736659999999999
LOVO,Uprosertib,-0.8505739999999999
CORL23,ZM447439,4.8382309999999995
HCT116,N-acetyl cysteine,9.789487
HCC1143,Rapamycin,-2.042754
LOXIMVI,OSI-027,3.3213470000000003
NCIN87,ICL-SIRT078,4.147862
SKNFI,AGK2,3.181375
MCF7,N-acetyl cysteine,9.586002
HCC1806,GSK1904529A,4.287044
GAMG,Dinaciclib,-2.453057
GAMG,OSI-027,0.12079000000000001
HCC1143,Fulvestrant,5.551756
LNCAPCLONEFGC,GSK2801,4.618529
HPAC,AZD5582,2.865579
HCC827,Serdemetan,3.9483800000000002
KP2,CPI-637,6.364229
NCIH1793,5-azacytidine,5.597028
KP2,AMG-319,5.977435
NCIH322,OTX015,2.543721
NCIH2347,WIKI4,3.486014
IGROV1,Dactinomycin,-6.117126
NCIN87,GSK343,3.878565
SNB75,AT13148,3.458804
RCC10RGB,Wee1 Inhibitor,4.19717
IALM,Wee1 Inhibitor,4.223607
SKNSH,Dactolisib,-0.300821
BICR31,GSK269962A,2.425714
OVCAR3,AZD5153,2.949451
KU1919,AGK2,3.0003
NCIH322,Gemcitabine,-1.296725
HPAC,Staurosporine,-3.1316669999999998
NMCG1,Docetaxel,-1.6037370000000002
SW48,Oxaliplatin,3.3670370000000003
639V,Entinostat,4.310271
NCIH1975,WEHI-539,4.459632
NCIH2009,SGC0946,2.822796
COLO680N,ascorbate,10.662531
RCM1,N-acetyl cysteine,10.125565
SKMEL2,AZD5991,-0.209671
BICR31,Paclitaxel,-0.6669430000000001
IGROV1,AZD8055,-1.7650740000000003
NCIH1355,ICL-SIRT078,6.7325550000000005
COLO680N,UNC0379,3.0639950000000002
HT29,VE-822,0.502373
KYSE510,NVP-ADW742,3.863398
HCT116,Dactinomycin,-6.469474
COLO829,N-acetyl cysteine,10.735381
BXPC3,Sorafenib,3.026472
CORL23,NVP-ADW742,1.6887720000000002
NCIH1975,GSK1904529A,4.338934
GAMG,SB590885,4.980075
DU145,Ibrutinib,6.289251999999999
TE8,LGK974,5.360399
NCIH2347,Camptothecin,0.399737
HT29,PLX-4720,1.874838
NCIH322,OSI-027,3.211318
LNCAPCLONEFGC,Romidepsin,-6.065926
SKNSH,SB590885,4.015313
SNB75,SGC0946,3.069904
OVCAR3,Cediranib,1.800041
NCIH1650,Camptothecin,0.137554
GAMG,AZD2014,1.576355
HT29,AMG-319,6.142713
8505C,5-Fluorouracil,6.413517
SKNFI,Afuresertib,2.115569
LOXIMVI,RVX-208,4.872330000000001
BXPC3,Foretinib,1.462344
NCIH1975,Vorinostat,1.515573
A549,CPI-637,4.986725
TE8,Niraparib,5.636445
RCC10RGB,MIM1,6.611188
GAMG,Afatinib,1.4666299999999999
LNCAPCLONEFGC,MG-132,-0.9656819999999999
SUIT2,AZD2014,3.833803
CAL29,PFI-1,4.130284
HCC827,Dihydrorotenone,1.926909
A549,VE-822,2.011852
COLO680N,CPI-637,6.195121
NCIN87,UMI-77,2.6108580000000003
LOVO,CCT007093,5.275232
NCIH2347,WEHI-539,3.545517
GAMG,Fludarabine,5.146997
NCIH1975,AZD5582,2.487361
HCT116,Uprosertib,2.652063
MCF7,OF-1,3.271577
SNB75,Linsitinib,5.80785
COLO680N,TW 37,2.794547
NCIH1975,Topotecan,1.600623
TE8,AZD5582,3.636782
NCIH1437,AMG-319,4.202872
NCIH1793,Teniposide,2.37025
DU145,Crizotinib,4.771221
SKNFI,Lapatinib,5.661668
KP2,AZD5582,5.627258
NCIH1975,Nelarabine,6.5658330000000005
SKMEL3,Savolitinib,3.279949
IALM,OSI-027,1.552712
NCIH1355,Temozolomide,7.554939
NCIH322,LGK974,4.701842
LS1034,Osimertinib,1.2092479999999999
NCIH1355,Sinularin,4.890122
HCC1806,PLX-4720,4.343388
A549,Ibrutinib,3.893293
LOVO,BI-2536,-2.779019
NCIH1355,Schweinfurthin A,4.558795
DU145,GNE-317,3.020978
MESSA,Leflunomide,4.73969
COLO829,Ulixertinib,2.222022
IALM,Foretinib,2.622853
HCC827,PFI-1,4.923893
LOVO,Wnt-C59,4.060517
IGROV1,GNE-317,-1.889446
KU1919,AGI-5198,4.027164
NCIH2347,AZ6102,3.5323019999999996
8505C,Camptothecin,-2.842486
SKMEL3,Bicalutamide,3.640505
786O,I-BRD9,3.689432
COLO829,Rapamycin,1.3018610000000002
GAMG,Alisertib,0.139791
DU145,AZ960,3.5900410000000003
SKNSH,N-acetyl cysteine,8.202932
CAOV3,Mirin,3.815897
H4,Buparlisib,0.521316
SKNSH,Temozolomide,6.908008000000001
OVISE,EPZ5676,6.119044000000001
NCIH2347,A-366,7.419346000000001
NCIH322,Ulixertinib,1.1877030000000002
639V,Dabrafenib,5.378866
RCM1,AGK2,3.6847489999999996
BICR31,Alisertib,1.4548020000000002
SCC25,Savolitinib,3.3321050000000003
CAL29,GNE-317,-0.812401
BICR31,WEHI-539,2.443418
DKMG,Osimertinib,1.3121
CAL29,BIBR-1532,5.136143
COLO680N,GW441756,4.772241
MCF7,Veliparib,5.739299
786O,AZD5991,5.537432
LOXIMVI,Fulvestrant,3.033766
CORL23,AGI-6780,5.144632
8505C,PD173074,4.046387999999999
NCIH226,N-acetyl cysteine,12.205928
SCC25,5-Fluorouracil,5.930289
SW948,Uprosertib,0.208188
CAOV3,Linsitinib,4.335401999999999
SCC25,Erlotinib,3.3977519999999997
CAOV3,Doramapimod,4.110462999999999
HCC827,Dactolisib,-0.743924
HT29,Obatoclax Mesylate,-1.8290790000000001
NMCG1,glutathione,11.418797999999999
NCIH1975,AMG-319,5.675619999999999
SKMEL3,Tamoxifen,4.748961
KU1919,Foretinib,0.925739
SNB75,Afatinib,3.6313199999999997
SUIT2,AZ6102,4.662014
LOXIMVI,Afatinib,1.234697
5637,UMI-77,3.853876
COLO829,Bleomycin,6.243937
COLO680N,Dactinomycin,-0.8673
IGROV1,PCI-34051,3.629482
NCIN87,Leflunomide,5.420746
SKMEL2,AZD7762,-0.037465
LS1034,GSK2801,5.456294000000001
SUIT2,SB216763,5.950197
5637,AZD1332,2.7308950000000003
DU145,KU-55933,5.761749
RCC10RGB,ascorbate,8.464277000000001
5637,Bleomycin,0.851102
786O,5-azacytidine,2.7068630000000002
BXPC3,Talazoparib,5.297755
COLO680N,Ulixertinib,3.213007
NCIH1793,Cyclophosphamide,6.943721000000001
BXPC3,Vinblastine,-3.341472
H4,Navitoclax,1.865203
NCIH2347,Vinblastine,1.624939
NMCG1,Ipatasertib,7.164515
H4,Uprosertib,1.8229790000000001
NCIN87,Savolitinib,2.949045
639V,SGC-CBP30,4.230052
DKMG,AGI-6780,5.121832
KP2,GDC0810,5.86568
NCIH226,Taselisib,3.777289
BICR31,P22077,3.7877769999999997
786O,Avagacestat,5.3732489999999995
HT29,Bicalutamide,6.362776
GAMG,RVX-208,5.274719999999999
OVISE,Ibrutinib,5.692126
HCC1806,EPZ5676,5.20919
HT29,Bleomycin,5.778308999999999
DKMG,BMS-754807,1.659413
DKMG,SGC0946,2.605112
A549,Navitoclax,2.246636
HCT116,Avagacestat,5.061394
CAL29,GSK2606414,3.6707970000000003
SCC25,Crizotinib,3.524443
IALM,CZC24832,5.760713
KYSE510,Dihydrorotenone,0.154461
OVISE,AZD2014,2.176472
SW48,Cytarabine,3.4075919999999997
NCIH1975,Uprosertib,1.517153
GI1,AZD8055,-0.8744430000000001
SUIT2,AZD5991,6.763444
NCIH1975,POMHEX,1.867313
NCIH1355,AZD1208,6.629057
SUIT2,Bosutinib,3.0051349999999997
DKMG,5-Fluorouracil,7.476738
LNCAPCLONEFGC,BMS-536924,2.4745209999999997
CAOV3,PRIMA-1MET,5.706741
TE8,Vinblastine,-4.3682870000000005
SKNSH,ABT737,-1.459662
LOXIMVI,I-BET-762,0.970368
SCC25,Docetaxel,-1.68702
LOXIMVI,Tamoxifen,2.056225
HCC1806,BMS-754807,2.9766880000000002
5637,AZD4547,2.584857
MESSA,Gallibiscoquinazole,2.078503
NCIH1793,LCL161,6.7383880000000005
BXPC3,Trametinib,0.045015
RCC10RGB,AZD5153,3.5120160000000005
HT29,WIKI4,4.315729
LOVO,Sinularin,4.77036
NCIH1650,UMI-77,4.472741
5637,Fulvestrant,3.7034519999999995
CAL29,Gallibiscoquinazole,2.219224
KP2,SB216763,5.177926
NCIH322,Dasatinib,-0.684353
SKMEL3,Selumetinib,1.757607
LS1034,SCH772984,1.574991
NCIH322,AZD5582,2.45381
IGROV1,Irinotecan,2.545621
MCF7,Elephantin,3.778607
786O,Navitoclax,2.735975
MESSA,LCL161,4.984495
IALM,YK-4-279,6.689201
TE8,Selumetinib,3.672721
HT29,PD173074,3.038641
KU1919,Tamoxifen,3.6662220000000003
HCC1806,Savolitinib,1.727712
BXPC3,Cyclophosphamide,6.05663
HCC827,Nelarabine,7.272017
OVISE,5-Fluorouracil,6.587467999999999
COLO680N,XAV939,6.02201
DU145,MIRA-1,6.416831
KYSE510,IOX2,2.12894
DKMG,Methotrexate,1.7943810000000002
GAMG,Olaparib,4.2703739999999994
CORL23,PRT062607,3.775615
BXPC3,PRIMA-1MET,5.5170330000000005
CAOV3,Erlotinib,2.918658
HT29,Olaparib,5.92652
NCIH1975,Motesanib,5.883863
786O,Afatinib,1.386478
HCC1143,Camptothecin,0.638914
OVCAR3,OTX015,2.7696110000000003
SUIT2,WEHI-539,6.896539999999999
HCC1806,AMG-319,5.091302
HT29,Axitinib,3.191703
DU145,AZ6102,4.677865
786O,Osimertinib,1.767065
MCF7,Serdemetan,4.2862849999999995
KU1919,Bortezomib,-4.810037
TE8,AZ960,0.6536109999999999
KP2,AZD8055,0.503768
639V,Dasatinib,1.391965
SW48,SB590885,5.271447
KP2,AZD5153,4.812168
HCT116,SGC0946,1.172282
SUIT2,Docetaxel,-1.831492
OVISE,GW441756,4.755704
CORL23,Sinularin,4.652830000000001
SKMEL3,Linsitinib,3.437276
DU145,Schweinfurthin A,3.322401
KYSE510,BMS-536924,2.394397
BXPC3,Mitoxantrone,2.445784
MCF7,YK-4-279,3.5476730000000005
KU1919,Romidepsin,-6.905227
COLO680N,glutathione,10.801371000000001
LOVO,Romidepsin,-4.834702
NCIN87,AMG-319,5.783999
KU1919,Niraparib,3.173218
ONS76,PLX-4720,3.798371
DU145,UNC0379,5.145032
KYSE510,Savolitinib,2.825858
KP2,Mycophenolic acid,3.6118949999999996
NMCG1,Avagacestat,6.1258870000000005
RCC10RGB,AZD4547,3.428548
HCT116,AGI-5198,4.575451
RCM1,Ibrutinib,4.587039
H4,Talazoparib,-0.455322
NCIH2009,Paclitaxel,-3.447365
BXPC3,Vorinostat,2.464632
SW948,AZ960,4.521433
8505C,ICL-SIRT078,6.180097
NCIH226,Oxaliplatin,8.537276
DU145,SGC0946,2.337111
5637,Dihydrorotenone,0.10147
DKMG,Wee1 Inhibitor,4.025846
NCIH2009,Alpelisib,2.673563
BXPC3,Crizotinib,3.777135
LOVO,Mirin,3.202016
COLO829,I-BET-762,6.084738
ONS76,GSK343,2.4437900000000004
HCC827,Navitoclax,3.326192
MCF7,Navitoclax,2.138957
NCIH1650,Pictilisib,2.635787
LOXIMVI,BI-2536,-2.399464
KYSE510,Staurosporine,-2.029815
COLO680N,ICL-SIRT078,5.3641190000000005
SKNSH,Olaparib,3.269989
SUIT2,LMP744,0.227298
LNCAPCLONEFGC,ICL-SIRT078,2.890619
COLO829,Fulvestrant,4.278154
BXPC3,WIKI4,3.73337
SKMEL2,Ruxolitinib,5.0042089999999995
IGROV1,Afuresertib,-1.567121
CAOV3,MK-2206,4.875438
A549,Gallibiscoquinazole,2.637643
KU1919,Methotrexate,-3.540547
KU1919,GSK2801,4.844053
CAL29,glutathione,8.667278999999999
NCIH1793,XAV939,3.8453769999999996
H4,Temozolomide,6.723886
639V,Ulixertinib,3.10879
SKMEL3,Paclitaxel,-2.908907
HCC827,glutathione,10.39662
LNCAPCLONEFGC,BMS-345541,3.640881
NMCG1,PFI-1,7.540411
SUIT2,AZD3759,3.686646
DKMG,EPZ004777,5.989433999999999
NCIH1975,AZD1208,5.555038
NMCG1,Dinaciclib,4.241255000000001
NCIH322,ascorbate,9.302902
HCC827,Linsitinib,5.207676
NCIH226,Bleomycin,7.755413000000001
HPAC,WEHI-539,6.850374
NCIH226,Irinotecan,7.149638
A549,KU-55933,3.787552
OVISE,Obatoclax Mesylate,0.8447020000000001
H4,OF-1,5.086092
LNCAPCLONEFGC,Tamoxifen,2.440443
KYSE510,PRT062607,2.356981
NCIH1793,VE-822,6.543864
HPAC,Sabutoclax,0.8406899999999999
LNCAPCLONEFGC,GSK2606414,3.2713400000000004
A549,PD173074,4.373732
SKMEL2,Staurosporine,-1.538243
HCC827,GSK2110183B,5.438623000000001
NCIH1650,Docetaxel,4.266832
KYSE510,GSK1904529A,4.617808999999999
NCIH2347,Savolitinib,3.800914
CAL29,Tamoxifen,3.054516
NCIH322,Ibrutinib,1.174786
HCC1806,SCH772984,1.736159
SNB75,Bicalutamide,4.996718
DKMG,Serdemetan,4.397297
HCT116,Ruxolitinib,3.76025
IGROV1,Ipatasertib,-0.706267
NCIH1650,UNC0379,5.999317
HCC1143,Gemcitabine,3.097886
NCIN87,PFI-1,5.607138
GI1,AT13148,1.856122
HCT116,AZD8055,-0.69747
SKNFI,Camptothecin,-1.8931040000000001
HCC1143,NVP-ADW742,1.514468
MESSA,Niraparib,4.029615
BICR31,Sorafenib,2.153985
RCM1,AZ6102,1.5926420000000001
8505C,Trametinib,-0.555032
OVCAR3,Mirin,5.218542
COLO680N,GSK-LSD1,3.685853
NCIN87,Dasatinib,0.7519170000000001
639V,Methotrexate,-1.6823759999999999
CAOV3,MG-132,-2.340943
HCC1806,Obatoclax Mesylate,-0.393886
KP2,AZD3759,4.352192
HT29,Navitoclax,3.497503
HCC1806,KU-55933,4.603324
IGROV1,Romidepsin,-4.713372
HPAC,OSI-027,2.566877
IALM,GSK343,5.684147
KU1919,Dactinomycin,-4.193604
KP2,EPZ5676,5.837989
NCIH1355,Gemcitabine,0.6455569999999999
HPAC,BMS-345541,4.250595
HCC1806,Ulixertinib,2.632015
NCIH1793,Temsirolimus,1.171673
BXPC3,Pevonedistat,1.0186959999999998
RCM1,BMS-345541,3.3039169999999998
SW948,Temsirolimus,0.605191
MESSA,Refametinib,3.455247
LOVO,VE-822,3.028059
KYSE510,Doramapimod,4.348463
HT29,Paclitaxel,-4.5415730000000005
NCIH1793,AGK2,4.416084
NCIH1975,Niraparib,5.089434
IGROV1,Cisplatin,1.9615669999999998
IGROV1,IWP-2,2.465544
A549,Crizotinib,1.687039
GAMG,Cytarabine,2.0608020000000002
639V,Bleomycin,0.7564069999999999
NMCG1,Refametinib,4.0294
OVCAR3,Buparlisib,1.066179
RCM1,LCL161,6.188009
LNCAPCLONEFGC,Crizotinib,2.062336
ONS76,Alisertib,2.15442
SUIT2,Afuresertib,4.986565000000001
HT29,AZD2014,2.114573
SUIT2,BMS-345541,3.9218699999999997
HCC827,Ipatasertib,4.428936
SCC25,NU7441,4.93428
BICR31,Taselisib,2.4304349999999997
LOXIMVI,Oxaliplatin,3.315218
NCIH1355,Mitoxantrone,3.849757
SKMEL3,AZD8186,2.869332
HPAC,Serdemetan,5.818280000000001
8505C,GSK1904529A,4.010058
BXPC3,AGK2,2.475438
HCC1143,Docetaxel,-0.534944
8505C,Refametinib,1.813606
GI1,WZ4003,2.9438020000000003
HCC1806,AZ6102,1.3548200000000001
H4,Docetaxel,-5.51131
KYSE510,WEHI-539,4.318869
NCIH1650,Refametinib,5.689825
NMCG1,WIKI4,4.870494
IALM,MG-132,-0.8529629999999999
NCIH322,Linsitinib,2.745623
NCIH1355,Vinblastine,-3.5845839999999995
HPAC,Paclitaxel,-3.617258
NCIH1650,Motesanib,6.281092
SKMEL3,PLX-4720,1.995082
A549,RO-3306,1.993297
HPAC,Mycophenolic acid,3.9446769999999995
NCIH1355,Paclitaxel,0.116032
639V,POMHEX,2.049182
786O,Camptothecin,-3.4361019999999995
NCIH322,Rapamycin,-1.9609590000000001
LOVO,AZD2014,0.531593
HCC1806,Erlotinib,0.8584930000000001
8505C,PD0325901,0.5431159999999999
ONS76,Savolitinib,3.3702650000000003
NCIH1975,Selumetinib,3.1077060000000003
ONS76,KU-55933,5.951948000000001
NCIN87,LMP744,-0.560377
HPAC,SB590885,5.147368
NCIH2347,Alisertib,5.285675
KU1919,MIRA-1,5.286985
